slug,date,minutes
regexp-fun-number-1-when-i-miss-few-days-of-gym,2019-02-01T16:20:21.000Z,60
deodorant-evaporator,2019-02-01T16:20:21.000Z,60
ordered-count-of-characters,2019-02-13T10:00:00.000Z,45
reverse-or-rotate,2019-02-15T13:00:00.000Z,60
the-deaf-rats-of-hamelin,2019-02-19T15:00:00.000Z,120
read-the-time,2019-02-19T15:00:00.000Z,120
scraping-get-the-year-a-codewarrior-joined,2019-02-20T16:40:00.000Z,180
user-class-for-banking-system,2019-02-25T10:00:00.000Z,45
moving-average,2019-02-26T10:06:00.000Z,30
replace-with-alphabet-position,2019-02-27T10:10:00.000Z,30
directions-reduction,2019-03-04T10:00:00.000Z,45
